city,country,year_and_week,year,avg_uv_weekly,avg_temp_weekly,avg_daylight_time_weekly,alpha-3,region
Lisbon,Portugal,16.0,2023.0,5.857142857142857,17.7,2024-04-18 13:24:08.571429,PRT,Europe
Izmir,Turkey,16.0,2023.0,5.0,16.17142857142857,2024-04-18 13:23:17.142857,TUR,Asia
Lisbon,Portugal,16.0,2024.0,6.0,18.0,2024-04-18 13:15:30.000000,PRT,Europe
Berlin,Germany,16.0,2024.0,2.5,7.3,2024-04-18 14:00:00.000000,DEU,Europe
Lisbon,Portugal,17.0,2023.0,6.285714285714286,19.642857142857142,2024-04-18 13:39:34.285714,PRT,Europe
Berlin,Germany,17.0,2023.0,3.428571428571429,9.085714285714285,2024-04-18 14:41:17.142857,DEU,Europe
Izmir,Turkey,17.0,2023.0,5.0,15.028571428571428,2024-04-18 13:39:08.571429,TUR,Asia
Izmir,Turkey,18.0,2023.0,5.285714285714286,17.457142857142856,2024-04-18 13:53:51.428571,TUR,Asia
Berlin,Germany,18.0,2023.0,3.7142857142857135,10.628571428571428,2024-04-18 15:07:00.000000,DEU,Europe
Lisbon,Portugal,18.0,2023.0,5.571428571428571,19.157142857142855,2024-04-18 13:55:08.571429,PRT,Europe
Lisbon,Portugal,19.0,2023.0,5.857142857142857,18.357142857142858,2024-04-18 14:09:51.428571,PRT,Europe
Izmir,Turkey,19.0,2023.0,5.428571428571429,17.157142857142855,2024-04-18 14:08:00.000000,TUR,Asia
Berlin,Germany,19.0,2023.0,4.857142857142857,14.385714285714284,2024-04-18 15:31:17.142857,DEU,Europe
Berlin,Germany,20.0,2023.0,4.428571428571429,13.614285714285714,2024-04-18 15:53:51.428571,DEU,Europe
Lisbon,Portugal,20.0,2023.0,6.285714285714286,19.214285714285715,2024-04-18 14:21:51.428571,PRT,Europe
Izmir,Turkey,20.0,2023.0,6.142857142857143,20.642857142857142,2024-04-18 14:19:42.857143,TUR,Asia
Lisbon,Portugal,21.0,2023.0,5.428571428571429,19.1,2024-04-18 14:33:00.000000,PRT,Europe
Izmir,Turkey,21.0,2023.0,5.7142857142857135,20.385714285714283,2024-04-18 14:30:25.714286,TUR,Asia
Berlin,Germany,21.0,2023.0,5.0,15.457142857142856,2024-04-18 16:13:17.142857,DEU,Europe
Lisbon,Portugal,22.0,2023.0,5.571428571428571,19.428571428571427,2024-04-18 14:41:34.285714,PRT,Europe
Berlin,Germany,22.0,2023.0,5.428571428571429,16.057142857142857,2024-04-18 16:29:25.714286,DEU,Europe
Izmir,Turkey,22.0,2023.0,5.571428571428571,20.82857142857143,2024-04-18 14:39:08.571429,TUR,Asia
Berlin,Germany,23.0,2023.0,6.142857142857143,20.942857142857143,2024-04-18 16:41:17.142857,DEU,Europe
Izmir,Turkey,23.0,2023.0,7.285714285714285,23.642857142857142,2024-04-18 14:45:34.285714,TUR,Asia
Lisbon,Portugal,23.0,2023.0,5.571428571428571,20.714285714285715,2024-04-18 14:48:08.571429,PRT,Europe
Lisbon,Portugal,24.0,2023.0,6.571428571428571,21.628571428571426,2024-04-18 14:52:00.000000,PRT,Europe
Izmir,Turkey,24.0,2023.0,6.571428571428571,23.57142857142857,2024-04-18 14:49:34.285714,TUR,Asia
Berlin,Germany,24.0,2023.0,5.285714285714286,18.27142857142857,2024-04-18 16:48:17.142857,DEU,Europe
Izmir,Turkey,25.0,2023.0,7.857142857142858,25.8,2024-04-18 14:50:17.142857,TUR,Asia
Berlin,Germany,25.0,2023.0,6.0,21.9,2024-04-18 16:50:25.714286,DEU,Europe
Lisbon,Portugal,25.0,2023.0,7.0,22.457142857142856,2024-04-18 14:52:51.428571,PRT,Europe
Berlin,Germany,26.0,2023.0,5.571428571428571,19.3,2024-04-18 16:47:08.571429,DEU,Europe
Izmir,Turkey,26.0,2023.0,8.0,26.728571428571428,2024-04-18 14:48:34.285714,TUR,Asia
Lisbon,Portugal,26.0,2023.0,7.7142857142857135,23.142857142857142,2024-04-18 14:51:08.571429,PRT,Europe
Berlin,Germany,27.0,2023.0,6.142857142857143,20.685714285714283,2024-04-18 16:39:00.000000,DEU,Europe
Izmir,Turkey,27.0,2023.0,8.571428571428571,28.385714285714283,2024-04-18 14:44:25.714286,TUR,Asia
Lisbon,Portugal,27.0,2023.0,6.7142857142857135,21.457142857142856,2024-04-18 14:46:51.428571,PRT,Europe
Izmir,Turkey,28.0,2023.0,9.142857142857144,30.357142857142858,2024-04-18 14:37:34.285714,TUR,Asia
Lisbon,Portugal,28.0,2023.0,7.0,22.02857142857143,2024-04-18 14:39:34.285714,PRT,Europe
Berlin,Germany,28.0,2023.0,6.857142857142857,23.7,2024-04-18 16:26:00.000000,DEU,Europe
Lisbon,Portugal,29.0,2023.0,7.0,21.385714285714283,2024-04-18 14:30:25.714286,PRT,Europe
Berlin,Germany,29.0,2023.0,5.571428571428571,19.628571428571426,2024-04-18 16:09:08.571429,DEU,Europe
Izmir,Turkey,29.0,2023.0,9.142857142857144,30.885714285714283,2024-04-18 14:28:34.285714,TUR,Asia
Lisbon,Portugal,30.0,2023.0,6.7142857142857135,21.857142857142858,2024-04-18 14:19:00.000000,PRT,Europe
Berlin,Germany,30.0,2023.0,5.285714285714286,18.914285714285715,2024-04-18 15:48:51.428571,DEU,Europe
Izmir,Turkey,30.0,2023.0,9.0,29.685714285714283,2024-04-18 14:17:42.857143,TUR,Asia
Izmir,Turkey,31.0,2023.0,8.714285714285714,29.02857142857143,2024-04-18 14:05:17.142857,TUR,Asia
Lisbon,Portugal,31.0,2023.0,7.142857142857143,23.157142857142855,2024-04-18 14:06:17.142857,PRT,Europe
Berlin,Germany,31.0,2023.0,4.7142857142857135,18.085714285714285,2024-04-18 15:26:25.714286,DEU,Europe
Berlin,Germany,32.0,2023.0,5.285714285714286,18.228571428571428,2024-04-18 15:01:42.857143,DEU,Europe
Izmir,Turkey,32.0,2023.0,8.571428571428571,27.314285714285717,2024-04-18 13:51:00.000000,TUR,Asia
Lisbon,Portugal,32.0,2023.0,7.428571428571427,23.585714285714285,2024-04-18 13:52:00.000000,PRT,Europe
Berlin,Germany,33.0,2023.0,6.571428571428571,24.157142857142855,2024-04-18 14:36:17.142857,DEU,Europe
Lisbon,Portugal,33.0,2023.0,7.0,22.185714285714283,2024-04-18 13:36:34.285714,PRT,Europe
Izmir,Turkey,33.0,2023.0,8.714285714285714,29.0,2024-04-18 13:36:17.142857,TUR,Asia
Berlin,Germany,34.0,2023.0,6.285714285714286,22.57142857142857,2024-04-18 14:09:51.428571,DEU,Europe
Izmir,Turkey,34.0,2023.0,8.857142857142858,30.114285714285717,2024-04-18 13:20:42.857143,TUR,Asia
Lisbon,Portugal,34.0,2023.0,7.428571428571427,23.857142857142858,2024-04-18 13:20:51.428571,PRT,Europe
Berlin,Germany,35.0,2023.0,4.7142857142857135,16.84285714285714,2024-04-18 13:42:51.428571,DEU,Europe
Lisbon,Portugal,35.0,2023.0,6.0,20.371428571428567,2024-04-18 13:04:17.142857,PRT,Europe
Izmir,Turkey,35.0,2023.0,8.0,26.82857142857143,2024-04-18 13:04:25.714286,TUR,Asia
Berlin,Germany,36.0,2023.0,7.285714285714285,22.971428571428568,2024-04-18 13:15:25.714286,DEU,Europe
Lisbon,Portugal,36.0,2023.0,5.285714285714286,20.8,2024-04-18 12:47:17.142857,PRT,Europe
