date,city,region_x,country,avg_temp_c,avg_humidity,condition_text,condition_icon,uv,sunrise,sunset,day_of_month,month_of_year,year,day_of_week,year_and_week,sunrise_time,sunset_time,daylight_int,day_condition,daylight_time,weekly_avg_uv,alpha-3,region_y
2023-08-19,Berlin,Berlin,Germany,26.2,50.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,05:55 AM,08:24 PM,19.0,august   ,2023.0,saturday ,33.0,05:55:00,20:24:00,-14:29:00,1,2024-04-18 14:29:00,5.0,DEU,Europe
2023-08-18,Berlin,Berlin,Germany,24.3,67.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,6.0,05:53 AM,08:26 PM,18.0,august   ,2023.0,friday   ,33.0,05:53:00,20:26:00,-14:33:00,0,2024-04-18 14:33:00,5.0,DEU,Europe
2023-08-17,Berlin,Berlin,Germany,21.5,65.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,6.0,05:52 AM,08:28 PM,17.0,august   ,2023.0,thursday ,33.0,05:52:00,20:28:00,-14:36:00,2,2024-04-18 14:36:00,5.0,DEU,Europe
2023-08-16,Berlin,Berlin,Germany,23.4,71.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,6.0,05:50 AM,08:30 PM,16.0,august   ,2023.0,wednesday,33.0,05:50:00,20:30:00,-14:40:00,0,2024-04-18 14:40:00,5.0,DEU,Europe
2023-08-15,Berlin,Berlin,Germany,24.6,72.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,7.0,05:48 AM,08:32 PM,15.0,august   ,2023.0,tuesday  ,33.0,05:48:00,20:32:00,-14:44:00,3,2024-04-18 14:44:00,5.0,DEU,Europe
2023-08-14,Berlin,Berlin,Germany,23.8,60.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,7.0,05:47 AM,08:34 PM,14.0,august   ,2023.0,monday   ,33.0,05:47:00,20:34:00,-14:47:00,2,2024-04-18 14:47:00,5.0,DEU,Europe
2023-08-13,Berlin,Berlin,Germany,21.8,66.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,6.0,05:45 AM,08:36 PM,13.0,august   ,2023.0,sunday   ,32.0,05:45:00,20:36:00,-14:51:00,2,2024-04-18 14:51:00,5.0,DEU,Europe
2023-08-12,Berlin,Berlin,Germany,21.9,63.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,6.0,05:44 AM,08:38 PM,12.0,august   ,2023.0,saturday ,32.0,05:44:00,20:38:00,-14:54:00,3,2024-04-18 14:54:00,5.0,DEU,Europe
2023-08-11,Berlin,Berlin,Germany,20.1,51.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,6.0,05:42 AM,08:40 PM,11.0,august   ,2023.0,friday   ,32.0,05:42:00,20:40:00,-14:58:00,2,2024-04-18 14:58:00,5.0,DEU,Europe
2023-08-10,Berlin,Berlin,Germany,16.4,59.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,5.0,05:40 AM,08:42 PM,10.0,august   ,2023.0,thursday ,32.0,05:40:00,20:42:00,-15:02:00,2,2024-04-18 15:02:00,5.0,DEU,Europe
